Quê hương vang mãi
Muôn khúc ca tưng bừng
Đời vui náo nức
Sức sống đang trào dâng
Mùa về trên quê hương
Nghe bao tiếng thân thương
Khi sông núi nối liền
Tin vui đến mọi miền
Lời Tổ quốc mênh mông
Bồi hối khắp non sông
Giờ giao thừa còn ấm
Giọng nói của Bác Hồ
Một Việt Nam thống nhất
Chan hòa tình Nam Bắc
Ôi chân lí rạng ngời
Bừng lên sáng soi đời
Vượt mọi nỗi gian lao
Hàn lại vết thương đau
Lòng ta hằng nung nấu
Nguyện ước của Bác Hồ
Cùng dựng xây đất nước
Cho đời thêm mơ ước
Tương lai sẽ ngập tràn
Một niềm vui bao la
Quê hương vang mãi
Muôn khúc ca tưng bừng
Đời vui náo nức
Sức sống đang trào dâng
Mùa về trên quê hương
Nghe bao tiếng thân thương
Khi sông núi nối liền
Tin vui đến mọi miền
Lời Tổ quốc mênh mông
Bồi hối khắp non sông
Giờ giao thừa còn ấm
Giọng nói của Bác Hồ
Một Việt Nam thống nhất
Chan hòa tình Nam Bắc
Ôi chân lí rạng ngời
Bừng lên sáng soi đời
Vượt mọi nỗi gian lao
Hàn lại vết thương đau
Lòng ta hằng nung nấu
Nguyện ước của Bác Hồ
Cùng dựng xây đất nước
Cho đời thêm mơ ước
Tương lai sẽ ngập tràn
Một niềm vui bao la
Cùng dựng xây đất nước
Cho đời thêm mơ ước
Tương lai sẽ ngập tràn
