Những Ngày Đi Học
Minh Trang
Năm nay em 17 tuổi
Áo dài còn trắng tinh khôi
Ai qua gốc cây đứng đợi
Như là muốn được sóng đôi
Áo trắng như mây xuống phố
Tan trường hay buổi nắng mưa
Là mắt hay nhìn không chớp
Xin đừng em có lời thưa
Thưa rằng em còn đi học
Áo dài còn chưa kịp lớn
Xin đừng ghi thơ lên đó
Làm em mất ngủ đêm nay
Thưa rằng em còn đi học
Áo dài còn chưa kịp lớn
Xin đừng ghi thơ lên đó
Làm em mất ngủ đêm nay
Năm nay em 17 tuổi
Áo dài còn trắng tinh khôi
Ai qua gốc cây đứng đợi
Như là muốn được sóng đôi
Áo trắng như mây xuống phố
Tan trường hay buổi nắng mưa
Là mắt hay nhìn không chớp
Xin đừng em có lời thưa
Thưa rằng em còn đi học
Áo dài còn chưa kịp lớn
Xin đừng ghi thơ lên đó
Làm em mất ngủ đêm nay
Thưa rằng em còn đi học
Áo dài còn chưa kịp lớn
Xin đừng ghi thơ lên đó
Làm em mất ngủ đêm nay
Năm nay em 17 tuổi
Áo dài còn trắng tinh khôi
Ai qua gốc cây đứng đợi
Như là muốn được sóng đôi
Áo trắng như mây xuống phố
Tan trường hay buổi nắng mưa
Là mắt hay nhìn không chớp
Xin đừng em có lời thưa
Thưa rằng em còn đi học
Áo dài còn chưa kịp lớn
Xin đừng ghi thơ lên đó
Làm em mất ngủ đêm nay
Thưa rằng em còn đi học
Áo dài còn chưa kịp lớn
Xin đừng ghi thơ lên đó
Làm em mất ngủ đêm nay
Thưa rằng em còn đi học
Áo dài còn chưa kịp lớn
Xin đừng ghi thơ lên đó
Làm em mất ngủ đêm nay
Thưa rằng em còn đi học
Áo dài còn chưa kịp lớn
Xin đừng ghi thơ lên đó
Làm em mất ngủ đêm nay
Xin đừng ghi thơ lên đó
Làm em
